day,Overall_Calories,Overall_Proteins,Overall_Carbs,Overall_Fats,Overall_Fibres,Breakfast_Items,Lunch_Items,Dinner_Items,Pre_workout_snack_Items,Post_workout_snack_Items,Mor_snac_Items,Eve_snack_Items,Breakfast_Serving,Lunch_Serving,Dinner_Serving,Pre_workout_snack_Serving,Post_workout_snack_Serving,Mor_snac_Serving,Eve_snack_Serving,Breakfast_Calories,Lunch_Calories,Dinner_Calories,Pre_workout_snack_Calories,Post_workout_snack_Calories,Mor_snac_Calories,Eve_snack_Calories,Breakfast_Carbs,Lunch_Carbs,Dinner_Carbs,Pre_workout_snack_Carbs,Post_workout_snack_Carbs,Mor_snac_Carbs,Eve_snack_Carbs,Breakfast_Proteins,Lunch_Proteins,Dinner_Proteins,Pre_workout_snack_Proteins,Post_workout_snack_Proteins,Mor_snac_Proteins,Eve_snack_Proteins,Breakfast_Fats,Lunch_Fats,Dinner_Fats,Pre_workout_snack_Fats,Post_workout_snack_Fats,Mor_snac_Fats,Eve_snack_Fats,Breakfast_Fibre,Lunch_Fibre,Dinner_Fibre,Pre_workout_snack_Fibre,Post_workout_snack_Fibre,Mor_snac_Fibre,Eve_snack_Fibre,Type,Region,Condition,Diet,Value
Day 1,1401.5 kcal,54.55 g,190.4 g,50.3 g,41.55 g,Stuffed Vegetable Paratha | Dahi,Mix daal | Lauki raita | Brown rice,Wheat Roti | Gobi matar sabzi | Mix daal | Carrot cucumber salad,Almonds | walnuts,Sprouts,Apple | Almonds,Roasted peanuts,2 Piece | 1 katori,1 katori | 1 katori | 1 katori,2 roti | 1 katori | 1 katori | 1 katori,4 almond | 4 piece,1.5 Katori,1 piece | 4 almond,0.5 serving,242 | 90,149 | 68 | 109,170 | 82 | 149 | 21,28 | 56,36,28,85.5,32.8 | 4.5,22.4 | 4.4 | 22.8,34.8 | 7 | 22.4 | 4.9,1.2 | 0.8,7.2,88 | 1.2,4,5.8 | 4.7,8.7 | 3.4 | 2.4,6 | 2.7 | 8.7 | 0.7,1.2 | 1.2,3.6,20 | 1.2,3.95,10 | 6,2.9 | 4.2 | 0.9,0.8 | 5 | 2.9 | 0.1,2.4 | 5.6,0.3,0.3 | 2.4,6,6.8 | 0,6 | 0.9 | 1,5.4 | 3.4 | 6 | 1.1,0.8 | 0.8,2.1,0.8 | 0.8,1.65,Weight Loss,North Indian,Thyroid,Veg,1400
Day 2,1381 kcal,58.3 g,178 g,49.5 g,37.4 g,Tomato Besan Omelette | Dahi,Tomato cucumber raita | Soya chunk pulao,Gobi matar sabzi | Daal | Wheat Roti,Mosambi | Almonds,Moong beans boiled,Sweet corn and moong dal chaat,Chana tikki,2 Piece | 1 katori,1 katori | 1.5 katori,1 katori | 1 bowl | 1 roti,1 piece | 4 almond,1 katori,1 katori,2 piece,216 | 90,51 | 222,82 | 116 | 85,29 | 28,138,72,252,21.6 | 4.5,5.5 | 35.4,7 | 18.7 | 17.4,6.2 | 1.2,23.4,12.5,24.6,8 | 4.7,2.5 | 9.3,2.7 | 7.2 | 3,0.5 | 1.2,9.9,3.9,5.4,10.6 | 6,2.4 | 4.5,5 | 1.4 | 0.4,0.2 | 2.4,0.5,1.1,15,4.6 | 0,1.1 | 3.6,3.4 | 3.1 | 2.7,1.8 | 0.8,6.9,2,7.4,Weight Loss,North Indian,Thyroid,Veg,1400
Day 3,1400 kcal,54.2 g,178.5 g,54.15 g,31.3 g,Methi paneer paratha | Dahi,Gavar sabzi | Mix daal | Nachni roti | Carrot cucumber salad,Millet khichdi | Grilled paneer,Masala oats,Apple smoothie,Pomegranate,Roasted chana,1 pieces | 0.5 katori,1 katori | 1 katori | 2 pieces | 1 katori,1 katori | 1 serving,1 katori,1 glass,0.5 cup,0.5 katori,138 | 45,65 | 149 | 174 | 21,89 | 287,80,145,72,135,13.3 | 2.25,4.7 | 22.4 | 38.4 | 4.9,16.7 | 1.8,12.8,22,16.25,23,4.6 | 2.35,2.6 | 8.7 | 4 | 0.7,2.2 | 16.9,2.3,3.6,1.45,4.8,7.5 | 3,3.8 | 2.9 | 0.8 | 0.1,1.6 | 23.7,2.2,4.9,1,2.65,2.1 | 0,3.6 | 6 | 6.2 | 1.1,0.7 | 0.5,2.4,1.6,3.5,3.6,Weight Loss,North Indian,Thyroid,Veg,1400
Day 4,1381 kcal,61.08 g,189.65 g,49.7 g,36.73 g,Upma,Lauki raita | Green salad | Paneer Pulao,Chhole | Wheat Roti,Almonds | Mosambi | walnuts,Moong beans boiled,Roasted chana | Cucumber tomato juice,Boiled soyabean,1 katori,1 katori | 1 katori | 1.5 Katori,1 katori | 1 roti,4 almond | 1 piece | 4 piece,1 katori,1 katori | 1 glass,0.25 cup,171,68 | 60 | 204,154 | 85,28 | 29 | 56,138,270 | 44,74,24.3,4.4 | 2.8 | 29.25,21 | 17.4,1.2 | 6.2 | 0.8,23.4,46 | 9.3,3.6,4.4,3.4 | 1.4 | 10.35,6.4 | 3,1.2 | 0.5 | 1.2,9.9,9.6 | 1.9,7.83,6.3,4.2 | 4.8 | 10.35,5.4 | 0.4,2.4 | 0.2 | 5.6,0.5,5.3 | 0.4,3.85,2.5,0.9 | 1.7 | 0.45,5.8 | 2.7,0.8 | 1.8 | 0.8,6.9,7.2 | 2.6,2.58,Weight Loss,North Indian,Thyroid,Veg,1400
Day 1,1817 kcal,85.9 g,270.8 g,49.5 g,47.6 g,Egg Omelette | Wheat Roti,Wheat Roti | Bhindi Sabzi | Daal | Carrot cucumber salad,Daal | Wheat Roti | Cabbage sabzi | Carrot cucumber salad | Brown rice,Almonds | Cashew Nuts | Pineapple,Garden Chicken Salad with Grilled Chicken - no dressing,Vegetable juice,Roasted chana | Palak Soup,2 Piece | 2 roti,2 roti | 1 Katori | 1 bowl | 1 katori,1 bowl | 1 roti | 1 katori | 1 katori | 1 katori,4 almond | 4 Piece | 3 thin,0.5 gm,1 glass,1 katori | 1 Bowl,208 | 170,170 | 68 | 116 | 21,116 | 85 | 62 | 21 | 109,28 | 32 | 78,175,55,270 | 33,5 | 34.8,34.8 | 7.1 | 18.7 | 4.9,18.7 | 17.4 | 4.7 | 4.9 | 22.8,1.2 | 1.2 | 18.3,8,11.5,46 | 10.8,12 | 6,6 | 1.8 | 7.2 | 0.7,7.2 | 3 | 1.5 | 0.7 | 2.4,1.2 | 1.2 | 0.6,21.5,1.5,9.6 | 1.8,16.2 | 0.8,0.8 | 3.7 | 1.4 | 0.1,1.4 | 0.4 | 4.2 | 0.1 | 0.9,2.4 | 2.8 | 0.3,7,0.3,5.3 | 1.4,0.8 | 5.4,5.4 | 3.1 | 3.1 | 1.1,3.1 | 2.7 | 2.6 | 1.1 | 1,0.8 | 0 | 4.8,1,2,7.2 | 2.4,Weight Gain,North Indian,Diabetes,Non Veg,1800
Day 2,1822 kcal,74.3 g,262.65 g,54.75 g,50 g,Dahi | Paneer Paratha,Daal | Carrot tomato salad | Wheat Roti | Gobi matar sabzi | Brown rice,Wheat Roti | Chicken curry | Carrot cucumber salad,Apple,Tofu,Pear | Pumpkin seeds,Grilled Vegetable Sandwich,1 katori | 1.5 Piece,1 bowl | 1 katori | 1 roti | 1 katori | 1 katori,2 roti | 1 katori | 1 katori,1 piece,1 Piece,1 piece | 1 tbsp,1 Sandwich,90 | 336,116 | 27 | 85 | 82 | 109,170 | 163 | 21,,186,52,220,4.5 | 36.15,18.7 | 5.4 | 17.4 | 7 | 22.8,34.8 | 4.6 | 4.9,88,35,77 | 1.3,32.5,4.7 | 13.8,7.2 | 0.9 | 3 | 2.7 | 2.4,6 | 17.9 | 0.7,20,6.1,17.6 | 2.7,5,6 | 16.35,1.4 | 0.2 | 0.4 | 5 | 0.9,0.8 | 7.7 | 0.1,0.3,2.4,0.9 | 4.4,8,0 | 5.7,3.1 | 2.5 | 2.7 | 3.4 | 1,5.4 | 1.7 | 1.1,0.8,5.2,0.3 | 0.6,6.4,Weight Gain,North Indian,Diabetes,Non Veg,1800
Day 3,1791 kcal,80.55 g,229.5 g,64.7 g,41.15 g,Boiled Egg | Peas poha,Jowar roti | Green salad | Daal | Gavar sabzi | Dahi,Carrot tomato salad | Dahi | Dal Khichadi,Chia seeds | Cashew Nuts | Pineapple,Egg white,Coconut water | Almonds | walnuts,Chickpea vegetable salad,2 Egg | 1.5 katori,2 piece | 1 katori | 1 bowl | 1 katori | 0.5 katori,1 katori | 1 katori | 2 Bowl,1 tbsp | 4 Piece | 4 thin,boiled,1 piece | 4 almond | 6 piece,1 katori,172 | 210,166 | 60 | 116 | 65 | 45,27 | 90 | 346,47 | 32 | 104,4 piece,49 | 28 | 84,82,2 | 41.85,35.6 | 2.8 | 18.7 | 4.7 | 2.25,5.4 | 4.5 | 57.2,4.1 | 1.2 | 24.4,68,9.1 | 1.2 | 1.2,12.5,13.2 | 4.5,3.6 | 1.4 | 7.2 | 2.6 | 2.35,0.9 | 4.7 | 13.2,1.6 | 1.2 | 0.8,0.8,2.9 | 1.2 | 1.8,3,13.2 | 3,1.6 | 4.8 | 1.4 | 3.8 | 3,0.2 | 6 | 7.2,3 | 2.8 | 0.4,14.4,0.2 | 2.4 | 8.4,2.5,0 | 1.65,3 | 1.7 | 3.1 | 3.6 | 0,2.5 | 0 | 7,3.3 | 0 | 6.4,0.8,2.3 | 0.8 | 1.2,4.6,Weight Gain,North Indian,Diabetes,Non Veg,1800
Day 4,1777.5 kcal,87.95 g,260.6 g,44.95 g,57.45 g,Wheat Roti | Masooor Bhaji,Carrot cucumber salad | Wheat Roti | Chicken curry | Brown rice,Bajra roti | Chana lobia curry | Green salad,Almonds | Pomegranate,Boiled kala chana,Cashew Nuts | Mosambi Juice,Clear Chicken Soup,2 roti | 1 Katori,1 katori | 1 roti | 1.5 katori | 1 katori,2 piece | 1 katori | 1 katori,4 almond | 1 cup,1 katori,4 Piece | 1 Glass,1 Katori,170 | 189,21 | 85 | 244.5 | 109,226 | 171 | 60,28 | 144,161,32 | 94,43,34.8 | 24.7,4.9 | 17.4 | 6.9 | 22.8,38.2 | 24.3 | 2.8,1.2 | 32.5,27.2,1.2 | 20.2,1.5,6 | 8.5,0.7 | 3 | 26.85 | 2.4,6.6 | 9 | 1.4,1.2 | 2.9,7.6,1.2 | 1.7,8.9,0.8 | 6.4,0.1 | 0.4 | 11.55 | 0.9,5.2 | 4.3 | 4.8,2.4 | 2,2.4,2.8 | 0.7,0.2,5.4 | 5.6,1.1 | 2.7 | 2.55 | 1,6.4 | 4.3 | 1.7,0.8 | 7,12.6,0 | 5.9,0.4,Weight Gain,North Indian,Diabetes,Non Veg,1800
Day 1,2380.5 kcal,89.45 g,344.85 g,75.85 g,63.35 g,Upma,Grilled Paneer Tikka | Dosa | Beans palya,Mix daal | Bean salad | Multi grain roti | Cauliflower palya,Almonds | Epigamia plain yoghurt | Muskmelon,Boiled sprouted chana,Fresh fruit salad | Cashew Nuts | walnuts,Makhana | Buttermilk,2 katori,1 Piece | 3 dosa | 1.5 katori,1 katori | 1 katori | 3 roti | 1.5 katori,6 almond | 1 pack | 1 cup,2 katori,1 katori | 6 Piece | 6 piece,2 katori | 1 glass,342,80 | 345 | 123,149 | 55 | 246 | 121.5,42 | 69 | ,322,60 | 48 | 84,222 | 45,48.6,2.7 | 59.1 | 11.55,22.4 | 7.4 | 47.7 | 9.9,1.8 | 5.6 | 27,54,14 | 1.8 | 1.2,49.2 | 2.3,8.8,4.2 | 9.6 | 3.9,8.7 | 1.9 | 9.3 | 3.15,1.8 | 7.2 | 5.6,17.4,0.9 | 1.8 | 1.8,6.2 | 2.3,12.6,5.8 | 7.8 | 6.9,2.9 | 2 | 2.1 | 8.55,3.6 | 2 | 0.5,5.2,0.5 | 4.2 | 8.4,0 | 3,5,0.6 | 0 | 5.7,6 | 2.1 | 9 | 3.45,1.2 | 0 | 0.3,15,3.6 | 0 | 1.2,9.2 | 0,Weight Gain,South Indian,Diabetes,Veg,2400
Day 2,2387 kcal,86.3 g,343.9 g,77.9 g,64.1 g,Chana masala | Ragi Dosa | Tomato peanut chutney,Vegetable soybean stew | Lemon rice | Carrot cucumber salad,Daal | Green salad | Wheat Roti | Lauki sabzi,Almonds | Cashew Nuts | Papaya,Strawberry | Epigamia plain yoghurt,Coconut water | Chia seeds | walnuts,Roasted chana | Ragi with buttermilk,1 katori | 2 Dosa | 4 tbsp,1 katori | 2 katori | 1 katori,1 bowl | 1 katori | 3 roti | 2 katori,6 almond | 6 Piece | 1 cup,4 medium | 2 pack,1 piece | 1 tbsp | 6 piece,1 katori | 1 glass,188 | 204 | 60,232 | 336 | 21,116 | 60 | 255 | 100,42 | 48 | ,20 | 138,49 | 47 | 84,270 | 71,20.3 | 43.2 | 3.6,25.9 | 60.2 | 4.9,18.7 | 2.8 | 52.2 | 7.4,1.8 | 1.8 | 46,4.8 | 11.2,9.1 | 4.1 | 1.2,46 | 14.3,5.7 | 4.4 | 2,9.7 | 7.8 | 0.7,7.2 | 1.4 | 9 | 1.4,1.8 | 1.8 | 10.4,0.4 | 14.4,2.9 | 1.6 | 1.8,9.6 | 1.8,9.8 | 1.4 | 4.8,10.1 | 7.2 | 0.1,1.4 | 4.8 | 1.2 | 7.4,3.6 | 4.2 | 0.9,0 | 4,0.2 | 3 | 8.4,5.3 | 0.8,5.2 | 4.4 | 1.6,7.8 | 3.6 | 1.1,3.1 | 1.7 | 8.1 | 5,1.2 | 0 | 0.2,1.2 | 0,2.3 | 3.3 | 1.2,7.2 | 2.3,Weight Gain,South Indian,Diabetes,Veg,2400
Day 3,2400.5 kcal,85.25 g,327.1 g,85.8 g,58.95 g,Tomato chutney | Drumstick sambhar | Spinach dosa,Mix daal | Chana Soyabean Bhaji | Dosa | Brown rice,Paneer masala | Carrot tomato salad | Wheat Roti,Pear | walnuts,Papaya smoothie | Chia seeds,Almonds | Carrot beetroot juice,Roasted peanuts | Ragi with buttermilk,4 tbsp | 1 katori | 3 medium,1 katori | 1 Katori | 2 dosa | 1 katori,1 Small | 1 katori | 3 roti,1 piece | 6 piece,1 glass | 1 tbsp,6 almond | 1 glass,0.5 serving | 1 glass,40 | 93 | 549,149 | 141 | 230 | 109,181 | 27 | 255,84,148 | 47,42 | 72,85.5 | 71,4 | 11 | 74.4,22.4 | 11.5 | 39.4 | 22.8,7 | 5.4 | 52.2,77 | 1.2,18.3 | 4.1,1.8 | 15.7,4 | 14.3,0.8 | 4.2 | 17.4,8.7 | 8.3 | 6.4 | 2.4,7.9 | 0.9 | 9,17.6 | 1.8,5.3 | 1.6,1.8 | 2.1,3.95 | 1.8,2.4 | 3.6 | 20.1,2.9 | 7.2 | 5.2 | 0.9,13.8 | 0.2 | 1.2,0.9 | 8.4,6.2 | 3,3.6 | 0,6 | 0.8,2 | 2.3 | 13.2,6 | 2.4 | 0 | 1,2.1 | 2.5 | 8.1,0.3 | 1.2,2.3 | 3.3,1.2 | 1,1.65 | 2.3,Weight Gain,South Indian,Diabetes,Veg,2400
Day 4,2383.5 kcal,84 g,335.3 g,70.45 g,60.15 g,Coconut Chutney | Oats rava idli | Brinjal sambhar,Tomato cucumber raita | Soya chunk pulao | Green salad,Daal | Carrot tomato salad | Cabbage sabzi | Brown rice | Wheat Roti,Cashew Nuts | walnuts | Mosambi,Apple pear oatmeal smoothie,Almonds | Strawberries | Pumpkin seeds,Sweet potato | Moong beans boiled,4 Teaspoon | 4 piece | 1 katori,1 katori | 2 katori | 1 katori,1 bowl | 1 katori | 1 katori | 1 katori | 3 roti,6 Piece | 6 piece | 1 piece,1.5 glass,6 almond | 6 piece | 1 tbsp,1 piece | 1 katori,68 | 296 | 117,51 | 296 | 60,116 | 27 | 62 | 109 | 255,48 | 84 | 29,352.5,42 |  | 52,138,2.8 | 46 | 15.9,5.5 | 47.2 | 2.8,18.7 | 5.4 | 4.7 | 22.8 | 52.2,1.8 | 1.2 | 6.2,41.4,1.8 | 30 | 1.3,151 | 23.4,0.8 | 9.6 | 5.5,2.5 | 12.4 | 1.4,7.2 | 0.9 | 1.5 | 2.4 | 9,1.8 | 1.8 | 0.5,9.6,1.8 | 7.2 | 2.7,27 | 9.9,6 | 8.4 | 3.5,2.4 | 6 | 4.8,1.4 | 0.2 | 4.2 | 0.9 | 1.2,4.2 | 8.4 | 0.2,10.05,3.6 | 0.6 | 4.4,2.1 | 0.5,2 | 4 | 3.2,1.1 | 4.8 | 1.7,3.1 | 2.5 | 2.6 | 1 | 8.1,0 | 1.2 | 1.8,8.55,1.2 | 0 | 0.6,0.1 | 6.9,Weight Gain,South Indian,Diabetes,Veg,2400
Day 1,1496.5 kcal,55.2 g,229.15 g,41.3 g,40.9 g,Peas poha | Cow milk,Ragi/nachni roti | Soyabean Curry | Bean salad | Daal,Coconut Rice | Drumstick rasam | Carrot cucumber salad,Pineapple | Almonds,Moong beans boiled,Makhana,Oats idli | Tomato chutney,1 katori | 1 glass,1.5 roti | 1 Katori | 1 katori | 0.5 bowl,1 Small | 1 katori | 1 katori,3 thin | 4 almond,1 katori,1 katori,2 piece | 2 tbsp,140 | 168,130.5 | 120 | 55 | 58,153 | 122 | 21,78 | 28,138,111,154 | 20,27.9 | 11,28.8 | 7.3 | 7.4 | 9.35,21.4 | 20.6 | 4.9,18.3 | 1.2,23.4,24.6,21 | 2,3 | 8,3 | 8.8 | 1.9 | 3.6,3.1 | 1.9 | 0.7,0.6 | 1.2,9.9,3.1,6 | 0.4,2 | 10.3,0.6 | 6.2 | 2 | 0.7,6.1 | 3.9 | 0.1,0.3 | 2.4,0.5,0,5 | 1.2,1.1 | 0,4.65 | 5.3 | 2.1 | 1.55,1.8 | 1.6 | 1.1,4.8 | 0.8,6.9,4.6,3.6 | 1,Weight Gain,South Indian,Thyroid,Veg,1500
Day 2,1478.5 kcal,57.95 g,211 g,47 g,42.15 g,Onion Rava Dosa | Rasam,Multi grain roti | Cabbage sabzi | Mix daal,Paneer capsicum sabzi | Wheat Roti | Carrot cucumber salad,Papaya smoothie,Boiled sprouted chana,Apple | Almonds | Cashew Nuts,Roasted peanuts | Buttermilk,1 Dosa | 1 Katori,2 roti | 1 katori | 1 katori,1 katori | 2 roti | 1 katori,1 glass,1 katori,1 piece | 4 almond | 4 Piece,0.5 serving | 1 glass,128 | 65,164 | 62 | 149,132 | 170 | 21,148,161,28 | 32,85.5 | 45,24 | 9.2,31.8 | 4.7 | 22.4,5.2 | 34.8 | 4.9,18.3,27,88 | 1.2 | 1.2,4 | 2.3,2.4 | 3.5,6.2 | 1.5 | 8.7,6 | 6 | 0.7,5.3,8.7,20 | 1.2 | 1.2,3.95 | 2.3,2.3 | 1.6,1.4 | 4.2 | 2.9,9.9 | 0.8 | 0.1,6.2,2.6,0.3 | 2.4 | 2.8,6 | 3,1.2 | 0.9,6 | 2.6 | 6,1.9 | 5.4 | 1.1,2.3,7.5,0.8 | 0.8 | 0,1.65 | 0,Weight Gain,South Indian,Thyroid,Veg,1500
Day 3,1514.5 kcal,67.25 g,203.9 g,49.55 g,43.45 g,Dhaniya pudina chutney | Green Gram Idli | Brinjal sambhar,Curd Rice | Grilled paneer | Green salad,Cauliflower palya | Daal | Wheat Roti,Pear | Almonds | walnuts,Boiled soya chunks,Roasted chana,Coconut water,2 tbsp | 2 Piece | 1 katori,1 Small | 0.5 serving | 1 katori,1 katori | 1 bowl | 2 roti,1 piece | 4 almond | 4 piece,1 katori,1 katori,1 piece,10 | 156 | 117,134 | 143.5 | 60,81 | 116 | 170,28 | 56,47,270,49,1.6 | 22.2 | 15.9,21.2 | 0.9 | 2.8,6.6 | 18.7 | 34.8,77 | 1.2 | 0.8,4.5,46,9.1,0.6 | 9.4 | 5.5,3.7 | 8.45 | 1.4,2.1 | 7.2 | 6,17.6 | 1.2 | 1.2,7.1,9.6,2.9,0.2 | 3.6 | 3.5,3.8 | 11.85 | 4.8,5.7 | 1.4 | 0.8,0.9 | 2.4 | 5.6,0.1,5.3,0.2,1 | 6.6 | 3.2,0.6 | 0.25 | 1.7,2.3 | 3.1 | 5.4,0.3 | 0.8 | 0.8,1.8,7.2,2.3,Weight Gain,South Indian,Thyroid,Veg,1500
Day 4,1515.5 kcal,69.95 g,195.95 g,56.9 g,39.55 g,Vermicelli upma,Soyabean Curry | Carrot tomato salad | Wheat Roti | Dahi,Lemon rice | Brinjal sambhar | Green salad,Oatmeal porridge,Tofu,Coconut water | walnuts | Cashew Nuts | Chia seeds,Palak Soup | Makhana,1.5 katori,1 Katori | 1 katori | 2 roti | 1 katori,1 katori | 1 katori | 1 katori,1 katori,1 serving,1 piece | 4 piece | 4 Piece | 1 tbsp,1 Bowl | 1 katori,151.5,120 | 27 | 170 | 90,168 | 117 | 60,140,144,49 | 56 | 32 | 47,33 | 111,25.05,7.3 | 5.4 | 34.8 | 4.5,30.1 | 15.9 | 2.8,16.7,2.8,9.1 | 0.8 | 1.2 | 4.1,10.8 | 24.6,3.45,8.8 | 0.9 | 6 | 4.7,3.9 | 5.5 | 1.4,6.2,17.3,2.9 | 1.2 | 1.2 | 1.6,1.8 | 3.1,4.2,6.2 | 0.2 | 0.8 | 6,3.6 | 3.5 | 4.8,5.9,8.7,0.2 | 5.6 | 2.8 | 3,1.4 | 0,1.95,5.3 | 2.5 | 5.4 | 0,1.8 | 3.2 | 1.7,2,2.3,2.3 | 0.8 | 0 | 3.3,2.4 | 4.6,Weight Gain,South Indian,Thyroid,Veg,1500
Day 1,1980 kcal,84.3 g,289.5 g,56.9 g,52.9 g,Egg Omelette | Wheat Roti,Bhindi Sabzi | Daal | Carrot cucumber salad | Wheat Roti | Buttermilk,Daal | Wheat Roti | Cabbage sabzi | Carrot cucumber salad | Brown rice,Almonds | Pineapple | Cashew Nuts,Egg white,Apple | walnuts,Roasted chana,2 Piece | 2 roti,1 Katori | 1 bowl | 1 katori | 3 roti | 1 glass,1 bowl | 1 roti | 1 katori | 1 katori | 1 katori,6 almond | 4 thin | 6 Piece,boiled,1 piece | 6 piece,1 katori,208 | 170,68 | 116 | 21 | 255 | 45,116 | 85 | 62 | 21 | 109,42 | 104 | 48,4 piece,84,270,5 | 34.8,7.1 | 18.7 | 4.9 | 52.2 | 2.3,18.7 | 17.4 | 4.7 | 4.9 | 22.8,1.8 | 24.4 | 1.8,68,88 | 1.2,46,12 | 6,1.8 | 7.2 | 0.7 | 9 | 2.3,7.2 | 3 | 1.5 | 0.7 | 2.4,1.8 | 0.8 | 1.8,0.8,20 | 1.8,9.6,16.2 | 0.8,3.7 | 1.4 | 0.1 | 1.2 | 3,1.4 | 0.4 | 4.2 | 0.1 | 0.9,3.6 | 0.4 | 4.2,14.4,0.3 | 8.4,5.3,0.8 | 5.4,3.1 | 3.1 | 1.1 | 8.1 | 0,3.1 | 2.7 | 2.6 | 1.1 | 1,1.2 | 6.4 | 0,0.8,0.8 | 1.2,7.2,Weight Gain,North Indian,Cholesterol,Non Veg,2000
Day 2,1986.5 kcal,89.85 g,252.4 g,71.6 g,52.85 g,Paneer Paratha | Dahi,Daal | Gobi matar sabzi | Wheat Roti | Brown rice,Wheat Roti | Chicken curry | Carrot tomato salad,Apple | Almonds,Moong beans boiled,Pear | Pumpkin seeds | walnuts,Roasted peanuts | Buttermilk,2 Piece | 1 katori,1 bowl | 1 katori | 2 roti | 1 katori,2 roti | 1 katori | 1 katori,1 piece | 6 almond,1 katori,1 piece | 1 tbsp | 6 piece,0.5 serving | 1 glass,448 | 90,116 | 82 | 170 | 109,170 | 163 | 27,42,138,52 | 84,85.5 | 45,48.2 | 4.5,18.7 | 7 | 34.8 | 22.8,34.8 | 4.6 | 5.4,88 | 1.8,23.4,77 | 1.3 | 1.2,4 | 2.3,18.4 | 4.7,7.2 | 2.7 | 6 | 2.4,6 | 17.9 | 0.9,20 | 1.8,9.9,17.6 | 2.7 | 1.8,3.95 | 2.3,21.8 | 6,1.4 | 5 | 0.8 | 0.9,0.8 | 7.7 | 0.2,0.3 | 3.6,0.5,0.9 | 4.4 | 8.4,6 | 3,7.6 | 0,3.1 | 3.4 | 5.4 | 1,5.4 | 1.7 | 2.5,0.8 | 1.2,6.9,0.3 | 0.6 | 1.2,1.65 | 0,Weight Gain,North Indian,Cholesterol,Non Veg,2000
Day 3,1991 kcal,87.15 g,267.55 g,67.8 g,40.3 g,Boiled Egg | Peas poha,Daal | Gavar sabzi | Dahi | Jowar roti | Capsicum lettuce salad,Dahi | Dal Khichadi | Carrot tomato salad,Apple smoothie,Egg white,Coconut water | walnuts | Almonds,Chickpea vegetable salad,2 Egg | 2 katori,1 bowl | 1 katori | 0.5 katori | 3 piece | 1 katori,1 katori | 2 Bowl | 1 katori,1 glass,boiled,1 piece | 6 piece | 6 almond,2 katori,172 | 280,116 | 65 | 45 | 249 | 49,90 | 346 | 27,145,4 piece,49 | 84 | 42,164,2 | 55.8,18.7 | 4.7 | 2.25 | 53.4 | 3.7,4.5 | 57.2 | 5.4,22,68,9.1 | 1.2 | 1.8,25,13.2 | 6,7.2 | 2.6 | 2.35 | 5.4 | 1.1,4.7 | 13.2 | 0.9,3.6,0.8,2.9 | 1.8 | 1.8,6,13.2 | 4,1.4 | 3.8 | 3 | 2.4 | 3.7,6 | 7.2 | 0.2,4.9,14.4,0.2 | 8.4 | 3.6,5,0 | 2.2,3.1 | 3.6 | 0 | 4.5 | 1.9,0 | 7 | 2.5,1.6,0.8,2.3 | 1.2 | 1.2,9.2,Weight Gain,North Indian,Cholesterol,Non Veg,2000
Day 4,1981 kcal,89.4 g,266.7 g,66.1 g,51.6 g,Wheat Roti | Egg bhurji,Carrot cucumber salad | Wheat Roti | Chicken curry | Daal | Brown rice,Bajra roti | Chana lobia curry | Carrot tomato salad,Mosambi | Chia seeds | walnuts,Sprouts,Watermelon | Almonds | Cashew Nuts,Makhana | Ragi with buttermilk,2 roti | 2 one,1 katori | 2 roti | 1 katori | 1 bowl | 1 katori,2 piece | 1 katori | 1 katori,1 piece | 1 tbsp | 6 piece,2 Katori,1 cup | 6 almond | 6 Piece,1 katori | 1 glass,170 | 304,21 | 170 | 163 | 116 | 109,226 | 171 | 27,29 | 47 | 84,48,42 | 48,111 | 71,34.8 | 9.6,4.9 | 34.8 | 4.6 | 18.7 | 22.8,38.2 | 24.3 | 5.4,6.2 | 4.1 | 1.2,9.6,24 | 1.8 | 1.8,24.6 | 14.3,6 | 15.2,0.7 | 6 | 17.9 | 7.2 | 2.4,6.6 | 9 | 0.9,0.5 | 1.6 | 1.8,4.8,5 | 1.8 | 1.8,3.1 | 1.8,0.8 | 23.8,0.1 | 0.8 | 7.7 | 1.4 | 0.9,5.2 | 4.3 | 0.2,0.2 | 3 | 8.4,0.4,0.3 | 3.6 | 4.2,0 | 0.8,5.4 | 2.6,1.1 | 5.4 | 1.7 | 3.1 | 1,6.4 | 4.3 | 2.5,1.8 | 3.3 | 1.2,2.8,0.3 | 1.2 | 0,4.6 | 2.3,Weight Gain,North Indian,Cholesterol,Non Veg,2000
